WGS84 UTM 53N
414063 3833998
19.190747684740927 21.828125984873623 52.492
-44.422740258218255 -33.805444640573114 52.64
-32.806424508220516 25.41422883607447 52.429
-4.866265246178955 -101.26163847837597 52.431
-103.19208438351052 -91.92362314229831 52.386
-49.52718100650236 15.733260673470795 52.433
-84.54402231791755 -73.80113883223385 52.443
-58.39117362134857 48.40942618204281 52.496
30.67959638906177 14.839011027477682 52.484
34.9230415225029 65.39668348431587 52.544
67.57122036081273 15.629635368008167 52.407
-14.783748711808585 -84.63532690750435 52.586
56.18365513335448 89.09582214662805 52.478
-82.11643513280433 -37.85984414536506 52.507
-50.525920985790435 -53.80387683864683 52.471
84.6111329717096 25.421830454841256 52.447
37.10914809978567 62.56060619652271 52.5
-48.43748164450517 31.594799276906997 52.488
-67.58650059858337 -63.869818256702274 52.476
-8.780871545954142 -35.73605109611526 52.501
-66.76546768390108 5.709023749921471 52.467
-64.4210185353877 -0.35402838746085763 52.564
-33.62891377793858 -43.80107664363459 52.461
19.070164424658287 -23.97743039391935 52.549
76.83614046522416 -4.644212355371565 52.58
-99.06308330089087 -47.720383076462895 52.504
9.03153584478423 -6.9680096209049225 52.533
-10.66103051963728 26.517411690205336 52.542
-31.7532936463831 -8.329060461372137 52.478
-18.814486373506952 -18.73896865407005 52.469
66.05057623505127 72.24208026332781 52.443
-28.740170484117698 -1.9123160047456622 52.444
111.9409584068926 52.08682966046035 52.517
66.95409232145175 11.963199148885906 52.641
38.65207708493108 -57.61270394036546 52.507
20.75640789011959 31.665586590301245 52.486
-15.863869286782574 35.404311288613826 52.515
40.69569905108074 -2.1301279459148645 52.493
34.04655439022463 -4.203200659248978 52.484
-24.66251506586559 -67.6828111615032 52.672
-14.911651504167821 1.754384784027934 52.454
35.85701459244592 31.682241262868047 52.471
-0.711034991312772 9.567324262112379 52.555
0.09710716793779284 -23.976513921283185 52.448
-34.51278752152575 -50.955438495613635 52.616
46.372033241786994 105.86896398523822 52.492
0.8751887378748506 65.39303469285369 52.524
-116.68498612148687 -57.63621415337548 52.338
-83.45185142062837 -96.50054665375501 52.392
-65.68548434838885 -28.145426576025784 52.494
51.65583420410985 75.29641665471718 52.524
-16.806603747187182 -33.88689111219719 52.468
-38.58704096410656 14.898211695253849 52.418
76.0757170910947 55.423847678583115 52.499
2.1735483215306886 11.749334529973567 52.569
86.13127308548428 38.58686063112691 52.498
-64.29850573651493 -100.67147391615435 52.421
10.882171049946919 48.5502518392168 52.534
-54.29826052696444 -17.3365903547965 52.558
47.050895931664854 45.81397247919813 52.547
-48.33529334689956 -18.140712273307145 52.54
68.5079847399029 85.16734337853268 52.456
50.9144563752925 5.701438504271209 52.458
1.1285852651344612 -52.39925216557458 52.495
56.949258817825466 29.052350919228047 52.59
86.75362979166675 -22.099128951784223 52.517
17.627759228867944 55.24651574809104 52.489
52.71183505805675 41.55619714548811 52.477
16.98739317059517 -14.136837526224554 52.481
1.0435522273764946 45.45328380027786 52.512
-9.026920295902528 82.28414487093687 52.518
98.05241819017101 38.38671688595787 52.462
-45.36184924893314 -104.6000504582189 52.435
28.935203495202586 -40.76649566134438 52.603
